pub_year,Genus,Count
1960,aphelenchoides,1
1960,ditylenchus,3
1960,heterodera,5
1960,meloidogyne,5
1960,pratylenchus,3
1961,aphelenchoides,1
1961,ditylenchus,1
1961,helicotylenchus,1
1961,heterodera,2
1961,meloidogyne,3
1961,pratylenchus,3
1961,xiphinema,3
1962,aphelenchoides,2
1962,ditylenchus,4
1962,heterodera,1
1962,meloidogyne,2
1962,pratylenchus,4
1963,aphelenchoides,1
1963,ditylenchus,1
1963,helicotylenchus,2
1963,heterodera,3
1963,meloidogyne,2
1963,pratylenchus,6
1963,xiphinema,2
1964,aphelenchoides,1
1964,ditylenchus,5
1964,heterodera,7
1964,meloidogyne,3
1964,pratylenchus,3
1964,xiphinema,2
1965,aphelenchoides,2
1965,ditylenchus,3
1965,heterodera,5
1965,meloidogyne,1
1965,pratylenchus,3
1965,xiphinema,2
1966,aphelenchoides,5
1966,helicotylenchus,1
1966,heterodera,6
1966,meloidogyne,10
1966,pratylenchus,2
1966,xiphinema,1
1967,aphelenchoides,1
1967,ditylenchus,8
1967,helicotylenchus,1
1967,heterodera,5
1967,meloidogyne,1
1967,pratylenchus,1
1967,xiphinema,2
1968,aphelenchoides,1
1968,ditylenchus,7
1968,helicotylenchus,1
1968,heterodera,7
1968,meloidogyne,3
1968,xiphinema,1
1969,bursaphelenchus,1
1969,ditylenchus,5
1969,helicotylenchus,2
1969,heterodera,11
1969,meloidogyne,17
1969,pratylenchus,6
1969,rotylenchulus,2
1969,xiphinema,3
1970,aphelenchoides,1
1970,ditylenchus,6
1970,globodera,2
1970,helicotylenchus,1
1970,heterodera,9
1970,meloidogyne,10
1970,pratylenchus,9
1970,xiphinema,4
1971,aphelenchoides,3
1971,ditylenchus,11
1971,helicotylenchus,4
1971,heterodera,7
1971,meloidogyne,7
1971,pratylenchus,10
1971,xiphinema,4
1972,aphelenchoides,3
1972,ditylenchus,8
1972,helicotylenchus,1
1972,heterodera,5
1972,meloidogyne,31
1972,pratylenchus,10
1972,xiphinema,6
1973,aphelenchoides,2
1973,ditylenchus,4
1973,helicotylenchus,1
1973,heterodera,12
1973,meloidogyne,37
1973,pratylenchus,5
1973,rotylenchulus,4
1973,xiphinema,3
1974,aphelenchoides,2
1974,ditylenchus,9
1974,helicotylenchus,3
1974,heterodera,12
1974,meloidogyne,14
1974,pratylenchus,4
1974,xiphinema,4
1975,ditylenchus,8
1975,helicotylenchus,2
1975,heterodera,25
1975,meloidogyne,25
1975,pratylenchus,6
1975,rotylenchulus,3
1975,xiphinema,1
1976,aphelenchoides,5
1976,ditylenchus,5
1976,globodera,3
1976,helicotylenchus,3
1976,heterodera,14
1976,meloidogyne,25
1976,pratylenchus,13
1976,rotylenchulus,1
1976,xiphinema,1
1977,aphelenchoides,5
1977,ditylenchus,8
1977,globodera,11
1977,helicotylenchus,2
1977,heterodera,16
1977,meloidogyne,20
1977,pratylenchus,13
1977,xiphinema,8
1978,aphelenchoides,2
1978,ditylenchus,1
1978,globodera,5
1978,helicotylenchus,3
1978,heterodera,14
1978,meloidogyne,23
1978,pratylenchus,9
1978,xiphinema,2
1979,aphelenchoides,1
1979,bursaphelenchus,1
1979,ditylenchus,9
1979,globodera,13
1979,helicotylenchus,5
1979,heterodera,20
1979,meloidogyne,23
1979,pratylenchus,14
1979,rotylenchulus,1
1979,xiphinema,1
1980,aphelenchoides,2
1980,ditylenchus,7
1980,globodera,11
1980,helicotylenchus,1
1980,heterodera,12
1980,meloidogyne,26
1980,pratylenchus,7
1980,rotylenchulus,1
1980,xiphinema,7
1981,aphelenchoides,2
1981,bursaphelenchus,1
1981,globodera,10
1981,helicotylenchus,4
1981,heterodera,18
1981,meloidogyne,20
1981,pratylenchus,7
1981,rotylenchulus,4
1981,xiphinema,1
1982,aphelenchoides,2
1982,bursaphelenchus,6
1982,ditylenchus,6
1982,globodera,18
1982,helicotylenchus,2
1982,heterodera,63
1982,meloidogyne,30
1982,pratylenchus,10
1982,rotylenchulus,1
1982,xiphinema,2
1983,bursaphelenchus,9
1983,ditylenchus,6
1983,globodera,25
1983,helicotylenchus,3
1983,heterodera,17
1983,meloidogyne,24
1983,pratylenchus,5
1983,rotylenchulus,4
1983,xiphinema,5
1984,aphelenchoides,7
1984,bursaphelenchus,7
1984,ditylenchus,3
1984,globodera,16
1984,helicotylenchus,4
1984,heterodera,27
1984,meloidogyne,20
1984,pratylenchus,8
1984,rotylenchulus,4
1984,xiphinema,5
1985,bursaphelenchus,8
1985,ditylenchus,8
1985,globodera,27
1985,helicotylenchus,2
1985,heterodera,19
1985,meloidogyne,28
1985,pratylenchus,13
1985,xiphinema,6
1986,bursaphelenchus,16
1986,ditylenchus,8
1986,globodera,18
1986,helicotylenchus,3
1986,heterodera,23
1986,meloidogyne,45
1986,pratylenchus,7
1986,xiphinema,2
1987,aphelenchoides,4
1987,bursaphelenchus,10
1987,ditylenchus,5
1987,globodera,22
1987,helicotylenchus,2
1987,heterodera,32
1987,meloidogyne,31
1987,pratylenchus,15
1987,rotylenchulus,2
1987,xiphinema,2
1988,aphelenchoides,2
1988,bursaphelenchus,15
1988,ditylenchus,1
1988,globodera,19
1988,helicotylenchus,3
1988,heterodera,48
1988,meloidogyne,32
1988,pratylenchus,8
1988,rotylenchulus,1
1988,xiphinema,4
1989,aphelenchoides,3
1989,bursaphelenchus,13
1989,ditylenchus,6
1989,globodera,17
1989,helicotylenchus,5
1989,heterodera,41
1989,meloidogyne,52
1989,pratylenchus,19
1989,rotylenchulus,2
1989,xiphinema,2
1990,bursaphelenchus,9
1990,ditylenchus,8
1990,globodera,14
1990,helicotylenchus,1
1990,heterodera,28
1990,meloidogyne,33
1990,pratylenchus,14
1990,rotylenchulus,6
1990,xiphinema,5
1991,bursaphelenchus,14
1991,ditylenchus,7
1991,globodera,25
1991,helicotylenchus,1
1991,heterodera,39
1991,meloidogyne,49
1991,pratylenchus,19
1991,rotylenchulus,6
1991,xiphinema,3
1992,aphelenchoides,2
1992,bursaphelenchus,12
1992,ditylenchus,8
1992,globodera,28
1992,helicotylenchus,4
1992,heterodera,33
1992,meloidogyne,41
1992,pratylenchus,22
1992,rotylenchulus,2
1992,xiphinema,3
1993,aphelenchoides,2
1993,bursaphelenchus,12
1993,ditylenchus,5
1993,globodera,26
1993,helicotylenchus,2
1993,heterodera,54
1993,meloidogyne,45
1993,pratylenchus,9
1993,rotylenchulus,3
1993,xiphinema,11
1994,aphelenchoides,3
1994,bursaphelenchus,10
1994,ditylenchus,14
1994,globodera,15
1994,helicotylenchus,3
1994,heterodera,44
1994,meloidogyne,56
1994,pratylenchus,16
1994,rotylenchulus,8
1994,xiphinema,7
1995,bursaphelenchus,6
1995,ditylenchus,9
1995,globodera,20
1995,helicotylenchus,3
1995,heterodera,49
1995,meloidogyne,44
1995,pratylenchus,24
1995,rotylenchulus,1
1996,aphelenchoides,2
1996,bursaphelenchus,6
1996,ditylenchus,4
1996,globodera,27
1996,helicotylenchus,6
1996,heterodera,39
1996,meloidogyne,46
1996,pratylenchus,14
1996,rotylenchulus,1
1996,xiphinema,5
1997,aphelenchoides,1
1997,bursaphelenchus,8
1997,ditylenchus,4
1997,globodera,28
1997,helicotylenchus,3
1997,heterodera,56
1997,meloidogyne,66
1997,pratylenchus,21
1997,xiphinema,1
1998,bursaphelenchus,6
1998,ditylenchus,4
1998,globodera,24
1998,helicotylenchus,7
1998,heterodera,45
1998,meloidogyne,49
1998,pratylenchus,26
1998,rotylenchulus,3
1998,xiphinema,2
1999,aphelenchoides,7
1999,bursaphelenchus,7
1999,ditylenchus,2
1999,globodera,27
1999,helicotylenchus,6
1999,heterodera,58
1999,meloidogyne,70
1999,pratylenchus,23
1999,rotylenchulus,1
1999,xiphinema,1
2000,aphelenchoides,7
2000,bursaphelenchus,13
2000,ditylenchus,2
2000,globodera,40
2000,helicotylenchus,5
2000,heterodera,45
2000,meloidogyne,77
2000,pratylenchus,25
2000,rotylenchulus,5
2000,xiphinema,4
2001,aphelenchoides,4
2001,bursaphelenchus,16
2001,ditylenchus,5
2001,globodera,32
2001,helicotylenchus,10
2001,heterodera,85
2001,meloidogyne,81
2001,pratylenchus,33
2001,rotylenchulus,2
2001,xiphinema,4
2002,aphelenchoides,7
2002,bursaphelenchus,17
2002,ditylenchus,3
2002,globodera,33
2002,helicotylenchus,12
2002,heterodera,47
2002,meloidogyne,99
2002,pratylenchus,30
2002,rotylenchulus,5
2002,xiphinema,1
2003,aphelenchoides,5
2003,bursaphelenchus,19
2003,ditylenchus,4
2003,globodera,30
2003,helicotylenchus,12
2003,heterodera,53
2003,meloidogyne,105
2003,pratylenchus,20
2003,rotylenchulus,9
2003,xiphinema,5
2004,aphelenchoides,4
2004,bursaphelenchus,17
2004,ditylenchus,5
2004,globodera,30
2004,helicotylenchus,18
2004,heterodera,62
2004,meloidogyne,99
2004,pratylenchus,31
2004,rotylenchulus,9
2004,xiphinema,10
2005,aphelenchoides,7
2005,bursaphelenchus,30
2005,ditylenchus,6
2005,globodera,24
2005,helicotylenchus,6
2005,heterodera,76
2005,meloidogyne,121
2005,pratylenchus,46
2005,rotylenchulus,14
2005,xiphinema,19
2006,aphelenchoides,10
2006,bursaphelenchus,55
2006,ditylenchus,4
2006,globodera,31
2006,helicotylenchus,9
2006,heterodera,59
2006,meloidogyne,113
2006,pratylenchus,36
2006,rotylenchulus,3
2006,xiphinema,6
2007,aphelenchoides,11
2007,bursaphelenchus,54
2007,ditylenchus,7
2007,globodera,28
2007,helicotylenchus,10
2007,heterodera,50
2007,meloidogyne,130
2007,pratylenchus,32
2007,rotylenchulus,6
2007,xiphinema,8
2008,aphelenchoides,5
2008,bursaphelenchus,52
2008,ditylenchus,6
2008,globodera,29
2008,helicotylenchus,5
2008,heterodera,90
2008,meloidogyne,139
2008,pratylenchus,29
2008,rotylenchulus,6
2008,xiphinema,11
2009,aphelenchoides,4
2009,bursaphelenchus,40
2009,ditylenchus,7
2009,globodera,33
2009,helicotylenchus,5
2009,heterodera,70
2009,meloidogyne,142
2009,pratylenchus,37
2009,rotylenchulus,9
2009,xiphinema,9
2010,aphelenchoides,11
2010,bursaphelenchus,43
2010,ditylenchus,12
2010,globodera,34
2010,helicotylenchus,7
2010,heterodera,83
2010,meloidogyne,139
2010,pratylenchus,35
2010,rotylenchulus,9
2010,xiphinema,12
2011,aphelenchoides,8
2011,bursaphelenchus,50
2011,ditylenchus,9
2011,globodera,46
2011,helicotylenchus,11
2011,heterodera,61
2011,meloidogyne,159
2011,pratylenchus,36
2011,rotylenchulus,9
2011,xiphinema,8
2012,aphelenchoides,15
2012,bursaphelenchus,69
2012,ditylenchus,5
2012,globodera,46
2012,helicotylenchus,11
2012,heterodera,73
2012,meloidogyne,177
2012,pratylenchus,29
2012,rotylenchulus,13
2012,xiphinema,10
2013,aphelenchoides,11
2013,bursaphelenchus,63
2013,ditylenchus,10
2013,globodera,47
2013,helicotylenchus,9
2013,heterodera,78
2013,meloidogyne,208
2013,pratylenchus,34
2013,rotylenchulus,14
2013,xiphinema,11
2014,aphelenchoides,17
2014,bursaphelenchus,56
2014,ditylenchus,14
2014,globodera,37
2014,helicotylenchus,11
2014,heterodera,86
2014,meloidogyne,197
2014,pratylenchus,61
2014,rotylenchulus,8
2014,xiphinema,7
2015,aphelenchoides,7
2015,bursaphelenchus,59
2015,ditylenchus,12
2015,globodera,25
2015,helicotylenchus,12
2015,heterodera,80
2015,meloidogyne,211
2015,pratylenchus,46
2015,rotylenchulus,4
2015,xiphinema,9
2016,aphelenchoides,22
2016,bursaphelenchus,73
2016,ditylenchus,11
2016,globodera,50
2016,helicotylenchus,7
2016,heterodera,100
2016,meloidogyne,209
2016,pratylenchus,49
2016,rotylenchulus,6
2016,xiphinema,17
2017,aphelenchoides,25
2017,bursaphelenchus,47
2017,ditylenchus,18
2017,globodera,63
2017,helicotylenchus,12
2017,heterodera,107
2017,meloidogyne,234
2017,pratylenchus,52
2017,rotylenchulus,4
2017,xiphinema,10
2018,aphelenchoides,18
2018,bursaphelenchus,54
2018,ditylenchus,16
2018,globodera,45
2018,helicotylenchus,5
2018,heterodera,112
2018,meloidogyne,269
2018,pratylenchus,43
2018,rotylenchulus,12
2018,xiphinema,8
2019,aphelenchoides,20
2019,bursaphelenchus,89
2019,ditylenchus,18
2019,globodera,56
2019,helicotylenchus,11
2019,heterodera,117
2019,meloidogyne,345
2019,pratylenchus,74
2019,rotylenchulus,6
2019,xiphinema,13
2020,aphelenchoides,32
2020,bursaphelenchus,99
2020,ditylenchus,22
2020,globodera,64
2020,helicotylenchus,19
2020,heterodera,144
2020,meloidogyne,390
2020,pratylenchus,66
2020,rotylenchulus,13
2020,xiphinema,13
2021,aphelenchoides,42
2021,bursaphelenchus,89
2021,ditylenchus,32
2021,globodera,66
2021,helicotylenchus,14
2021,heterodera,123
2021,meloidogyne,436
2021,pratylenchus,86
2021,rotylenchulus,10
2021,xiphinema,12
2022,aphelenchoides,59
2022,bursaphelenchus,136
2022,ditylenchus,33
2022,globodera,50
2022,helicotylenchus,22
2022,heterodera,159
2022,meloidogyne,469
2022,pratylenchus,102
2022,rotylenchulus,8
2022,xiphinema,25
2023,aphelenchoides,21
2023,bursaphelenchus,65
2023,ditylenchus,22
2023,globodera,33
2023,helicotylenchus,7
2023,heterodera,66
2023,meloidogyne,275
2023,pratylenchus,40
2023,rotylenchulus,5
2023,xiphinema,3
