title,pub_year,journal,citations,Genus,Species
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
First Report of the Cereal Cyst Nematode Heterodera latipons on Wheat in Morocco.,2012,Plant Disease,964,Heterodera,avenae
First Report of the Cereal Cyst Nematode Heterodera latipons on Wheat in Morocco.,2012,Plant Disease,964,Heterodera,avenae
Genome sequence of the metazoan plant-parasitic nematode Meloidogyne incognita,2008,Nature Biotechnology,906,Meloidogyne,incognita
Genome sequence of the metazoan plant-parasitic nematode Meloidogyne incognita,2008,Nature Biotechnology,906,Meloidogyne,incognita
First report of Bursaphelenchus xylophilus in Portugal and in Europe,1999,Nematology,533,Bursaphelenchus,xylophilus
First report of Bursaphelenchus xylophilus in Portugal and in Europe,1999,Nematology,533,Bursaphelenchus,xylophilus
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,incognita
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,arenaria
"APOMICTIC, POLYPHAGOUS ROOT-KNOT NEMATODES: Exceptionally Successful and Damaging Biotrophic Root Pathogens",2001,Annual Review of Phytopathology,425,Meloidogyne,javanica
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Heterodera,glycines
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Globodera,rostochiensis
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Heterodera,glycines
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Heterodera,glycines
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Globodera,rostochiensis
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Heterodera,glycines
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Globodera,rostochiensis
"Endogenous cellulases in animals: Isolation of β-1,4-endoglucanase genes from two species of plant-parasitic cyst nematodes",1998,Proceedings of the National Academy of Sciences of the United States of America,408,Globodera,rostochiensis
Positional Cloning of a Gene for Nematode Resistance in Sugar Beet,1997,Science,382,Heterodera,schachtii
Positional Cloning of a Gene for Nematode Resistance in Sugar Beet,1997,Science,382,Heterodera,schachtii
Positional Cloning of a Gene for Nematode Resistance in Sugar Beet,1997,Science,382,Heterodera,schachtii
Sequence and genetic map of Meloidogyne hapla: A compact nematode genome for plant parasitism,2008,Proceedings of the National Academy of Sciences of the United States of America,376,Meloidogyne,hapla
Sequence and genetic map of Meloidogyne hapla: A compact nematode genome for plant parasitism,2008,Proceedings of the National Academy of Sciences of the United States of America,376,Meloidogyne,hapla
Sequence and genetic map of Meloidogyne hapla: A compact nematode genome for plant parasitism,2008,Proceedings of the National Academy of Sciences of the United States of America,376,Meloidogyne,hapla
Sequence and genetic map of Meloidogyne hapla: A compact nematode genome for plant parasitism,2008,Proceedings of the National Academy of Sciences of the United States of America,376,Meloidogyne,hapla
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,2011,PLOS Pathogens,332,Bursaphelenchus,xylophilus
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,2013,Plant Physiology,326,Heterodera,schachtii
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,2013,Plant Physiology,326,Heterodera,schachtii
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,2013,Plant Physiology,326,Heterodera,schachtii
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,2013,Plant Physiology,326,Heterodera,schachtii
Cowpea (Vigna unguiculata L. Walp.),1997,Field Crops Research,319,Meloidogyne,javanica
Cowpea (Vigna unguiculata L. Walp.),1997,Field Crops Research,319,Meloidogyne,incognita
Cowpea (Vigna unguiculata L. Walp.),1997,Field Crops Research,319,Meloidogyne,javanica
Cowpea (Vigna unguiculata L. Walp.),1997,Field Crops Research,319,Meloidogyne,incognita
Estimating disease losses to the Australian wheat industry,2009,Australasian Plant Pathology,314,Heterodera,avenae
Estimating disease losses to the Australian wheat industry,2009,Australasian Plant Pathology,314,Heterodera,avenae
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,arenaria
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,arenaria
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,arenaria
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Pratylenchus,penetrans
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,arenaria
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Globodera,rostochiensis
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Pratylenchus,penetrans
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Pratylenchus,penetrans
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Pratylenchus,penetrans
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,1991,The Plant Journal,301,Meloidogyne,incognita
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Heterodera,glycines
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Globodera,pallida
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Heterodera,glycines
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Heterodera,glycines
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Globodera,pallida
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,2002,Molecular Plant-Microbe Interactions,300,Heterodera,glycines
"Soybean Yield Loss Estimates Due to Diseases in the United States and Ontario, Canada, from 2010 to 2014",2017,Plant Health Progress,289,Heterodera,glycines
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,incognita
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,incognita
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,javanica
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,incognita
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,javanica
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,incognita
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,incognita
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,javanica
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,javanica
"Identification of Meloidogyne incognita, M. javanica and M. arenaria using sequence characterised amplified region (SCAR) based PCR assays",2000,Nematology,280,Meloidogyne,javanica
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,2002,Journal of Nematology,279,Heterodera,glycines
